generation,fitness,accuracy,mse,hidden_cells,edges
123.0,0.4783963961326015,1.0,3.603867398487996e-06,7.0,58.0
124.0,0.47950669803370116,1.0,0.001593301966298852,6.0,51.0
125.0,0.4799989530523844,1.0,0.0005010469476156192,6.0,53.0
126.0,0.4813552766389842,1.0,4.472336101579653e-05,6.0,50.0
127.0,0.48145527603344457,1.0,0.0002447239665554383,6.0,49.0
128.0,0.48145527603344457,1.0,0.0002447239665554383,6.0,49.0
129.0,0.4816425244409557,1.0,0.00035747555904432565,6.0,48.0
130.0,0.4816906577656895,1.0,9.34223431052716e-06,6.0,49.0
131.0,0.4825778459331036,1.0,2.215406689639022e-05,6.0,46.0
132.0,0.4825778459331036,1.0,2.215406689639022e-05,6.0,46.0
133.0,0.4825778459331036,1.0,2.215406689639022e-05,6.0,46.0
134.0,0.48288325820490485,1.0,1.674179509515654e-05,6.0,45.0
135.0,0.4843463215126286,1.0,5.36784873714237e-05,5.0,42.0
136.0,0.48450093968284713,1.0,0.0001990603171529,5.0,41.0
137.0,0.48450093968284713,1.0,0.0001990603171529,5.0,41.0
138.0,0.48450093968284713,1.0,0.0001990603171529,5.0,41.0
139.0,0.4846998556322967,1.0,1.4436770332100476e-07,5.0,41.0
140.0,0.4849628431854699,1.0,3.715681453010948e-05,5.0,40.0
141.0,0.4849830131734494,1.0,1.6986826550590914e-05,5.0,40.0
142.0,0.4852692170641162,1.0,3.0782935883815626e-05,5.0,39.0
143.0,0.4852692170641162,1.0,3.0782935883815626e-05,5.0,39.0
144.0,0.48662534943735103,1.0,0.0010746505626489829,4.0,33.0
145.0,0.48662534943735103,1.0,0.0010746505626489829,4.0,33.0
146.0,0.4871414793703478,1.0,0.0008585206296521778,4.0,32.0
147.0,0.4871414793703478,1.0,0.0008585206296521778,4.0,32.0
148.0,0.4871713409792003,1.0,0.0005286590207997264,4.0,33.0
149.0,0.4873789101252273,1.0,0.0006210898747726857,4.0,32.0
150.0,0.4874139927453132,1.0,0.0005860072546867975,4.0,32.0
151.0,0.4874139927453132,1.0,0.0005860072546867975,4.0,32.0
152.0,0.4879990846925896,1.0,0.0003009153074103735,4.0,31.0
153.0,0.4879990846925896,1.0,0.0003009153074103735,4.0,31.0
154.0,0.4881076615867779,1.0,0.00019233841322212813,4.0,31.0
155.0,0.48810916141994015,1.0,0.00019083858005983993,4.0,31.0
156.0,0.48833590227867346,1.0,0.00026409772132653174,4.0,30.0
157.0,0.4885495816217845,1.0,5.0418378215465895e-05,4.0,30.0
158.0,0.4885495816217845,1.0,5.0418378215465895e-05,4.0,30.0
159.0,0.4885793088659082,1.0,2.0691134091763113e-05,4.0,30.0
160.0,0.4888009520721345,1.0,9.904792786552248e-05,4.0,29.0
161.0,0.4888192112771428,1.0,8.07887228571948e-05,4.0,29.0
162.0,0.48885651840908007,1.0,4.348159091991795e-05,4.0,29.0
163.0,0.4891095839550276,1.0,9.041604497239561e-05,4.0,28.0
164.0,0.48914944121219184,1.0,5.055878780819013e-05,4.0,28.0
165.0,0.4891509371578534,1.0,4.906284214661906e-05,4.0,28.0
166.0,0.4894995905485175,1.0,4.0945148249947355e-07,4.0,27.0
167.0,0.4894995905485175,1.0,4.0945148249947355e-07,4.0,27.0
168.0,0.4897879642612825,1.0,1.2035738717523293e-05,4.0,26.0
169.0,0.4897993761046229,1.0,6.238953771399836e-07,4.0,26.0
170.0,0.4900896117775605,1.0,1.0388222439499166e-05,4.0,25.0
171.0,0.4903877835690839,1.0,1.2216430916077561e-05,4.0,24.0
172.0,0.4903877835690839,1.0,1.2216430916077561e-05,4.0,24.0
173.0,0.4903913518938967,1.0,8.648106103298046e-06,4.0,24.0
174.0,0.4906461093228366,1.0,5.3890677163455755e-05,4.0,23.0
175.0,0.4906461093228366,1.0,5.3890677163455755e-05,4.0,23.0
176.0,0.4906998373608585,1.0,1.626391415561913e-07,4.0,23.0
177.0,0.4909963560716011,1.0,3.6439283989111676e-06,4.0,22.0
178.0,0.4909983115412464,1.0,1.6884587536082753e-06,4.0,22.0
179.0,0.49129944755250093,1.0,5.524474990989776e-07,4.0,21.0
180.0,0.49129944755250093,1.0,5.524474990989776e-07,4.0,21.0
181.0,0.4912998093777951,1.0,1.906222049304378e-07,4.0,21.0
182.0,0.4915994960268091,1.0,5.039731909031316e-07,4.0,20.0
183.0,0.4915996135846551,1.0,3.86415344862576e-07,4.0,20.0
184.0,0.4915999627829826,1.0,3.721701736815873e-08,4.0,20.0
185.0,0.4930852527045136,1.0,1.4747295486421446e-05,3.0,17.0
186.0,0.4930852527045136,1.0,1.4747295486421446e-05,3.0,17.0
187.0,0.4930852527045136,1.0,1.4747295486421446e-05,3.0,17.0
