id,number,suffix,provenance,file_count,artifact_types
V433,433,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V433B,433,B,RESULT_ARTIFACT_PRESERVED,3,ARCHIVE;FIGURE;MARKDOWN
V434,434,,RESULT_ARTIFACT_PRESERVED,3,ARCHIVE;FIGURE;MARKDOWN
V435,435,,RESULT_ARTIFACT_PRESERVED,3,FIGURE
V435B,435,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V435C,435,C,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V436,436,,RESULT_ARTIFACT_PRESERVED,3,FIGURE
V436B,436,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V436C,436,C,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V437,437,,RESULT_ARTIFACT_PRESERVED,6,FIGURE
V437B,437,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V437C,437,C,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V437D,437,D,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V437E,437,E,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V437F,437,F,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V438,438,,RESULT_ARTIFACT_PRESERVED,5,FIGURE
V438B,438,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V438C,438,C,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V438D,438,D,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V438E,438,E,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V439,439,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V440,440,,RESULT_ARTIFACT_PRESERVED,3,ARCHIVE;FIGURE;MARKDOWN
V441,441,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V442,442,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V443,443,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V443B,443,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V444,444,,RESULT_ARTIFACT_PRESERVED,3,FIGURE
V444B,444,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V444C,444,C,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V445,445,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V446,446,,RESULT_ARTIFACT_PRESERVED,4,FIGURE
V446B,446,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V446C,446,C,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V446D,446,D,RESULT_ARTIFACT_PRESERVED,1,FIGURE
